Pre_Max;Pre_Min;Pre_MinNZ;Pre_Avg;Pre_AvgNZ;Post_Max;Post_Min;Post_MinNZ;Post_Avg;Post_AvgNZ;Min_MinNZ;Plaintext;PTHeight;CTHeight;ToBeProtected_pre;ToBeProtected_post;ToBeProtected;SourceLine;SourceColumn;IsAKeyOp;IsAKeyStart;PreKeyStart;SubKey;PostKeyStart;Sbox;post_FirstToMeetKey;HasBeenMasked;Origin;ValueSize;keydep_own.count;KD_Max;KD_Min;KD_MinNZ;KD_Avg;KD_AvgNZ;FK_min;FOH_of_fk_min;BYTE_FK_min;BYTE_FOH_of_fk_min;WORD_FK_min;WORD_FOH_of_fk_minpre;pre_own;post;post_own;"Full instruction"
0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;316;0;1;0;0;0;0;0;0;0;0;32;0;3;3;3;3;3;0;0;0;0;0;0;60;60;0;27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 ;"  %xor28 = xor i32 %xor27, %xor25, !dbg !66"
0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;316;0;1;0;0;0;0;0;0;0;0;32;0;3;0;3;0;3;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %and29 = and i32 %xor28, 269488144, !dbg !66"
0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;316;0;1;0;0;0;0;0;0;0;0;32;0;3;1;1;1;1;0;0;0;0;0;0;60;60;0;58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 ;"  %xor30 = xor i32 %and29, %xor25, !dbg !66"
0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;316;0;1;0;0;0;0;0;0;0;0;32;0;3;1;1;1;1;0;0;0;0;0;0;60;60;0;58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 58077 58077 58077 58077 58077 58077 58077 27986 ;"  %xor31 = xor i32 %and29, %xor27, !dbg !66"
0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;316;0;1;0;0;0;0;0;0;0;0;32;0;2;0;2;0;2;0;0;0;0;0;0;60;60;60;58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %and32 = and i32 %xor30, 15, !dbg !66"
0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;316;0;1;0;0;0;0;0;0;0;0;64;0;2;0;2;0;2;0;0;0;0;0;0;60;60;0;58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %idxprom = zext i32 %and32 to i64, !dbg !66"
0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;316;0;1;0;0;0;0;0;0;0;0;32;0;8;0;8;1;9;0;0;0;0;0;0;60;60;60;27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %arrayidx33 = getelementptr inbounds [16 x i32]* @LHs, i64 0, i64 %idxprom, !dbg !66"
0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;316;0;1;0;0;0;0;0;0;0;0;32;0;8;0;8;1;9;0;0;0;0;0;0;60;60;0;27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %8 = load i32* %arrayidx33, align 4, !dbg !66"
0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;316;0;1;0;0;0;0;0;0;0;0;32;0;8;0;8;0;9;0;0;0;0;0;0;60;60;0;27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 ;"  %shl34 = shl i32 %8, 3, !dbg !66"
0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;316;0;1;0;0;0;0;0;0;0;0;32;0;3;0;1;1;1;0;0;0;0;0;0;60;60;0;27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 ;"  %shr35 = lshr i32 %xor30, 8, !dbg !66"
