Pre_Max;Pre_Min;Pre_MinNZ;Pre_Avg;Pre_AvgNZ;Post_Max;Post_Min;Post_MinNZ;Post_Avg;Post_AvgNZ;Min_MinNZ;Plaintext;PTHeight;CTHeight;ToBeProtected_pre;ToBeProtected_post;ToBeProtected;SourceLine;SourceColumn;IsAKeyOp;IsAKeyStart;PreKeyStart;SubKey;PostKeyStart;Sbox;post_FirstToMeetKey;HasBeenMasked;Origin;ValueSize;keydep_own.count;KD_Max;KD_Min;KD_MinNZ;KD_Avg;KD_AvgNZ;FK_min;FOH_of_fk_min;BYTE_FK_min;BYTE_FOH_of_fk_min;WORD_FK_min;WORD_FOH_of_fk_minpre;pre_own;post;post_own;"Full instruction"
0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv16 = zext i8 %5 to i32, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %shl17 = shl nuw nsw i32 %conv16, 16, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %xor18 = xor i32 %shl17, %shl13, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;470;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %arrayidx20 = getelementptr inbounds i8* %_key, i64 6, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %6 = load i8* %arrayidx20, align 1, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;42912 42912 42912 42912 42912 42912 42912 42912 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv21 = zext i8 %6 to i32, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %shl22 = shl nuw nsw i32 %conv21, 8, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %xor23 = xor i32 %xor18, %shl22, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;470;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %arrayidx25 = getelementptr inbounds i8* %_key, i64 7, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %7 = load i8* %arrayidx25, align 1, !dbg !70"
