x y b0 b1 b2 b3 b4 b5 b6 b7 b8 b9 b10 b11 b12 b13 b14 b15 b16 b17 b18 b19 b20 b21 b22 b23 b24 b25 b26 b27 b28 b29 b30 b31 
39 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
40 0 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
41 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
42 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
43 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
44 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
45 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
46 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
47 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
48 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
49 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
50 0 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 

0 1 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
1 1 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
2 1 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
3 1 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
4 1 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
5 1 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
6 1 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
