x y z
9 8 128
10 8 128
11 8 128
12 8 128
13 8 128
14 8 128
15 8 128
16 8 128
17 8 128
18 8 128
19 8 128
20 8 128
21 8 128
22 8 128
23 8 128
24 8 128
25 8 128
26 8 128
27 8 128
28 8 128
29 8 128
30 8 128
31 8 128
32 8 128
33 8 128
34 8 128
35 8 128
36 8 128
37 8 128
38 8 128
39 8 128
40 8 128
41 8 128
42 8 128
43 8 128
44 8 128
45 8 128
46 8 128
47 8 128
48 8 128
49 8 128
50 8 20000
0 9 128
1 9 128
2 9 128
3 9 128
4 9 128
5 9 128
6 9 128
7 9 128
8 9 128
9 9 128
10 9 128
11 9 128
12 9 128
13 9 128
14 9 128
15 9 128
16 9 128
17 9 128
18 9 128
19 9 128
20 9 128
21 9 128
22 9 128
23 9 128
24 9 128
25 9 128
26 9 128
27 9 128
28 9 128
29 9 128
30 9 128
31 9 128
32 9 128
33 9 128
34 9 128
35 9 128
36 9 128
37 9 128
38 9 128
39 9 128
40 9 128
41 9 128
42 9 128
43 9 128
44 9 128
45 9 128
46 9 128
47 9 128
48 9 128
49 9 128
50 9 20000
0 10 128
1 10 128
2 10 128
3 10 128
4 10 128
5 10 128
6 10 128
7 10 128
8 10 128
9 10 128
10 10 128
11 10 128
12 10 128
13 10 128
14 10 128
15 10 128
16 10 128
17 10 128
18 10 128
19 10 128
20 10 128
21 10 128
22 10 128
23 10 128
24 10 128
25 10 128
26 10 128
27 10 128
28 10 128
29 10 128
30 10 128
31 10 128
32 10 128
33 10 128
34 10 128
35 10 128
36 10 128
37 10 128
38 10 128
39 10 128
40 10 128
41 10 128
42 10 128
43 10 128
44 10 128
45 10 128
46 10 128
47 10 128
48 10 20000
49 10 20000
50 10 20000
0 11 128
1 11 128
2 11 128
3 11 128
4 11 128
5 11 128
6 11 128
7 11 128
8 11 128
9 11 128
10 11 128
11 11 128
12 11 128
13 11 128
14 11 128
15 11 128
16 11 128
17 11 128
18 11 128
19 11 128
20 11 128
21 11 128
22 11 128
23 11 128
24 11 128
25 11 128
26 11 128
27 11 128
28 11 128
29 11 128
30 11 128
31 11 128
32 11 128
33 11 128
34 11 128
35 11 128
36 11 128
37 11 128
38 11 128
39 11 128
40 11 128
41 11 128
42 11 128
43 11 128
44 11 128
45 11 128
46 11 128
47 11 128
48 11 128
49 11 128
50 11 20000
0 12 128
